int min 1,int min 2,int min 3,int min 4,int min 5,int min 6,int min 7,int min 8,int min 9,int min 10,int min 11,int min 12,int min 13,int min 14,int min 15,int min 16,int min 17,int min 18,int min 19,int min 20,int min 21,int min 22,int min 23,int min 24,int min 25,int min 26,int min 27,int min 28,int min 29,int min 30,int min 31,int min 32,int min 33,int min 34,int min 35,int min 36,int min 37,int min 38,int min 39,int min 40,int min 41,int min 42,int min 43,int min 44,int min 45,int min 46,int min 47,int min 48,int min 49,int min 50,int min 51,int min 52,int min 53,int min 54,int min 55,int min 56,int min 57,int min 58,int min 59,int min 60
0.9523887283275588 - 0.0005495711709752973im,0.9523602364057048 - 0.0005729589069916077im,0.9523316014085097 - 0.000596363017001421im,0.9523031560089967 - 0.0006197465665650363im,0.952274543850237 - 0.0006430940052720341im,0.9522460329088577 - 0.0006664664930477664im,0.9522173601270428 - 0.0006898272391003291im,0.9521887256635806 - 0.0007131359085236173im,0.9521601259840788 - 0.0007365613996959602im,0.9521315871104038 - 0.0007599228539139387im,0.9521030788157868 - 0.0007832823227717898im,0.9520745028665963 - 0.0008066749615468051im,0.9520459187482819 - 0.0008299630934283943im,0.9520173819435159 - 0.0008533456170081349im,0.951988807995229 - 0.0008767026356017884im,0.9519602528347254 - 0.0009000542271713881im,0.9519317191288891 - 0.0009233832007363229im,0.9519030086935941 - 0.0009467334309504118im,0.9518743940619651 - 0.0009701677850604685im,0.9518457202642074 - 0.0009936670079971218im,0.9518171359628005 - 0.0010171291292976005im,0.9517885341838022 - 0.0010405427517012837im,0.9517598665072127 - 0.0010638962712436846im,0.9517312748302212 - 0.0010871681980256722im,0.9517026122691967 - 0.0011105779482911882im,0.9516739838456303 - 0.001133895909640116im,0.9516454235764803 - 0.0011572529540704538im,0.9516167503485066 - 0.0011806434658719037im,0.9515882001058568 - 0.0012039298474971424im,0.9515595039724217 - 0.0012273306662702937im,0.9515308072002656 - 0.00125066293111098im,0.9515021729627967 - 0.0012739827636646314im,0.9514736155892692 - 0.0012973176943345906im,0.951444958739612 - 0.0013206370451017756im,0.9514163221839234 - 0.001343999555861514im,0.9513878015435502 - 0.0013672939010821107im,0.951359101510061 - 0.001390552801383883im,0.9513304584654416 - 0.0014139249053592858im,0.9513018401733535 - 0.0014371747760776054im,0.9512731134853005 - 0.0014604723584591588im,0.9512444180882137 - 0.001483742932615708im,0.9512158480484051 - 0.0015071828280877684im,0.951188253104794 - 0.0015297367736012344im,0.951187457333692 - 0.0015303643985096654im,0.9511874664378714 - 0.0015303694551223883im,0.9511874589997931 - 0.0015303436998750529im,0.9511874483757569 - 0.001530330416678211im,0.9511873905266806 - 0.001530242593131512im,0.9511874145845227 - 0.0015302767021067773im,0.9511873822819374 - 0.0015302430821970186im,0.9511874033090486 - 0.001530278249075524im,0.9511874335677416 - 0.0015303080535873127im,0.9511874620152003 - 0.0015303447915596218im,0.951187443388184 - 0.001530309617686305im,0.9511874848932207 - 0.0015303651430475552im,0.9511874707065763 - 0.001530350790050203im,0.9511874321298633 - 0.001530292202957703im,0.9511874149945867 - 0.0015302630649768755im,0.9511874140728782 - 0.0015302576597437509im,0.9511873860152097 - 0.001530216235390533im
0.9494054893069779 - 0.0004480331272869462im,0.9493770214120052 - 0.0004714552942718718im,0.9493484185273297 - 0.000494729217004911im,0.9493199822280286 - 0.0005181074422245959im,0.9492913308425636 - 0.0005414395085224444im,0.9492627442138551 - 0.0005647820287137339im,0.949234209382983 - 0.0005881722594587093im,0.949205566113239 - 0.0006114794834227832im,0.9491770387236415 - 0.0006348719611450735im,0.9491485136744232 - 0.0006582357953818531im,0.9491199743950104 - 0.0006815168286587701im,0.9490914080765454 - 0.0007048625007260975im,0.9490628909157227 - 0.0007281623448437451im,0.9490342481012217 - 0.0007515168678761599im,0.9490056988906655 - 0.0007748795780859259im,0.9489770767734899 - 0.0007982435284412008im,0.9489484989828719 - 0.0008216174724661361im,0.9489198753109959 - 0.0008449929487916587im,0.9488913477007984 - 0.0008684516257765751im,0.94886265478697 - 0.0008918724450332329im,0.9488340949045242 - 0.0009153764535400694im,0.9488055493723841 - 0.0009387515491533821im,0.948776934120274 - 0.0009621946513489102im,0.9487483207093272 - 0.000985516860844428im,0.9487196867513941 - 0.0010088763763821014im,0.9486909965931736 - 0.0010322092532507492im,0.9486623354584335 - 0.0010555906508173934im,0.9486337454049969 - 0.0010789376259795506im,0.9486052220454183 - 0.001102293994575433im,0.9485765871138291 - 0.0011257261802716672im,0.9485480387924954 - 0.0011489825844297318im,0.9485193825111482 - 0.0011722888308436936im,0.9484908603544078 - 0.0011956148601690677im,0.9484622110382307 - 0.0012188584733854029im,0.9484336053663924 - 0.0012421904479473877im,0.9484050422670215 - 0.0012656024761887427im,0.9483763654770789 - 0.0012889594030347465im,0.9483477695121567 - 0.0013124560312891714im,0.9483191094257649 - 0.0013357340259413527im,0.9482904835825637 - 0.0013590518111668494im,0.9482618234657246 - 0.0013823717419057969im,0.9482331528992027 - 0.0014057427104462795im,0.948205678159809 - 0.0014282678627206276im,0.9482051560767994 - 0.0014285929763243979im,0.948205195671168 - 0.0014286489013001949im,0.9482052020100341 - 0.0014286510862075476im,0.9482052118334616 - 0.001428669586714693im,0.9482052073513365 - 0.0014286700312821374im,0.9482052522804065 - 0.0014287297308668279im,0.948205215267424 - 0.001428686181362135im,0.9482052474238859 - 0.0014287371976117076im,0.9482052756429595 - 0.0014287664466389623im,0.9482052865025731 - 0.001428784787238295im,0.9482052846454572 - 0.0014287881924016288im,0.9482052758817267 - 0.0014287672201985578im,0.9482052556398604 - 0.0014287405462321803im,0.9482052431618518 - 0.001428720527423687im,0.9482052457038405 - 0.0014287326250695656im,0.9482052460728049 - 0.0014287309614414976im,0.9482052372967122 - 0.0014287224851153228im
0.9453505861743545 - 0.0003024892477375997im,0.9453272063166334 - 0.00032113648009724925im,0.9453037735703143 - 0.0003397997953062708im,0.945280377738403 - 0.00035839427808111835im,0.9452569243993691 - 0.00037695101500300154im,0.9452334571722741 - 0.00039554617211829285im,0.9452100023399427 - 0.00041415228540439813im,0.9451865305558489 - 0.0004326129273946923im,0.9451631567585148 - 0.00045125236726638557im,0.9451397340604515 - 0.00046985426560088847im,0.9451163377808579 - 0.0004884628749987898im,0.9450928960009602 - 0.00050709092006155im,0.9450694700803846 - 0.0005257424900651131im,0.9450461005172776 - 0.000544307025139435im,0.9450225709827783 - 0.000562942948349682im,0.9449990819732745 - 0.000581577708308788im,0.9449755930941001 - 0.0006001760451138784im,0.9449521466937645 - 0.0006188081761481549im,0.9449286413354662 - 0.0006374895035772309im,0.9449051642613171 - 0.0006561165901703238im,0.9448816411680714 - 0.0006747949107504731im,0.9448581575082043 - 0.0006933558928134926im,0.9448347442452877 - 0.0007119498464478256im,0.9448112164514096 - 0.000730549121094973im,0.9447877673651283 - 0.000749165366511625im,0.944764191365924 - 0.000767767119810768im,0.944740731010944 - 0.0007863955101827598im,0.9447173241031986 - 0.0008050066435121005im,0.944693904672344 - 0.0008235829148374406im,0.9446704381960337 - 0.0008421833230633236im,0.9446469102044972 - 0.0008609225471840396im,0.9446233876985259 - 0.0008794887861946316im,0.9445999155930608 - 0.0008981007525832777im,0.9445764101461388 - 0.0009166010538776514im,0.9445528852710788 - 0.0009352571758566645im,0.9445293220573399 - 0.0009538776356896153im,0.9445057715694716 - 0.0009725132936952334im,0.9444822820545643 - 0.0009910855751108488im,0.944458801514671 - 0.0010096815295377885im,0.9444352909250878 - 0.0010282217797067817im,0.9444118833834249 - 0.0010470081869357211im,0.9443882789030323 - 0.0010655800306849665im,0.94436596395212 - 0.0010832922163353253im,0.9443656398829885 - 0.0010835339080458226im,0.9443656171818441 - 0.0010834962897871903im,0.9443656440037105 - 0.001083532397416861im,0.9443656444486084 - 0.0010835355511729441im,0.9443656386104402 - 0.0010835272912621456im,0.9443656657363781 - 0.0010835725882096824im,0.9443656357797823 - 0.0010835155404082478im,0.9443656354440293 - 0.0010835159668027426im,0.944365607397399 - 0.0010834789362914724im,0.9443656006483332 - 0.0010834691616611665im,0.9443655918785508 - 0.0010834493726952794im,0.9443655653805105 - 0.00108340245132043im,0.9443655830216564 - 0.0010834175042832817im,0.9443655845559903 - 0.0010834203642663277im,0.9443656062818512 - 0.0010834575287696144im,0.9443656380999185 - 0.0010835102006724194im,0.9443656253320277 - 0.0010834869998145764im
0.9323114649166127 - 0.0004005116716481871im,0.9322987558266754 - 0.0004091041458275897im,0.9322859463306579 - 0.0004177216529113738im,0.932273122533176 - 0.00042628983522976285im,0.932260304264086 - 0.00043473712483990885im,0.9322475815466651 - 0.00044336266101652736im,0.9322347547111953 - 0.00045194592695603394im,0.9322219436373426 - 0.0004605838135873009im,0.9322091563442751 - 0.0004692154761877012im,0.9321963110917285 - 0.0004778289995536308im,0.9321835364164239 - 0.0004864310456096266im,0.9321706814563572 - 0.0004950296697273367im,0.932157952273804 - 0.0005036475429438378im,0.9321452217336825 - 0.0005122432391220342im,0.9321324564253536 - 0.0005207951822605621im,0.9321196028983596 - 0.0005293529152622508im,0.9321067980833019 - 0.0005379613922293045im,0.9320940288914116 - 0.0005464762187855714im,0.9320812071324528 - 0.0005550661816323529im,0.9320684391269697 - 0.0005636525867228068im,0.9320556136561031 - 0.0005722622669154964im,0.9320428366722544 - 0.0005808738461728454im,0.932030027184403 - 0.0005894778280552302im,0.9320171831636685 - 0.0005981360714322686im,0.9320043870438368 - 0.0006067577472782821im,0.9319915394416025 - 0.000615338899045959im,0.9319787224671761 - 0.000623891490334351im,0.9319659222728561 - 0.0006325092561000133im,0.9319530472249136 - 0.0006412352578131834im,0.9319402013667132 - 0.0006498044096943227im,0.9319273862545647 - 0.0006583635963688019im,0.9319146008223594 - 0.0006669726980100156im,0.9319017043845448 - 0.0006756275368438578im,0.9318888455418142 - 0.0006843433841401163im,0.9318760660796103 - 0.0006929026931716618im,0.9318631964107819 - 0.000701463973914821im,0.9318503448942397 - 0.0007100193672334643im,0.9318375370425435 - 0.0007185810288624494im,0.93182470789182 - 0.000727148073272586im,0.9318118877598156 - 0.0007357382197086im,0.9317990411842653 - 0.0007443395559011553im,0.9317861855958359 - 0.0007529167380534956im,0.9317742140252171 - 0.0007608540683831774im,0.9317740716618365 - 0.0007609230575057396im,0.9317740554551075 - 0.0007608946281158111im,0.931774081917183 - 0.0007609391714143762im,0.9317740494848263 - 0.0007608842188203738im,0.9317740423462407 - 0.0007608694454038441im,0.9317740310636962 - 0.0007608514704799733im,0.931774041305335 - 0.0007608692756885055im,0.9317740230359826 - 0.0007608403280005175im,0.9317740298072708 - 0.0007608511451728256im,0.9317740022979606 - 0.0007608075438066185im,0.9317739760170546 - 0.0007607601516552733im,0.9317739686074631 - 0.00076074579720678im,0.9317739898141468 - 0.0007607828161152096im,0.9317739641360624 - 0.0007607389623882941im,0.9317739583264542 - 0.0007607321597113754im,0.9317739433430348 - 0.000760707106007624im,0.9317739298317871 - 0.0007606840127429135im
0.9479448773898832 - 8.311944091616057e-5im,0.9479285305324241 - 9.511602415763568e-5im,0.9479122065085721 - 0.000107164862079685im,0.9478958595845531 - 0.00011927716939379011im,0.9478795644980668 - 0.00013140497454436584im,0.9478632563188408 - 0.00014343761361025877im,0.9478469934732529 - 0.00015553411437770325im,0.9478307141540016 - 0.0001675612764376352im,0.9478143938008226 - 0.00017947907745518728im,0.9477980601017268 - 0.0001915454075036398im,0.9477816833147062 - 0.00020356558201420924im,0.9477653975709943 - 0.0002156609638389878im,0.9477490336897842 - 0.000227753648177751im,0.9477327342015018 - 0.0002397218499349637im,0.9477163933458019 - 0.00025179985974278676im,0.9477001196700546 - 0.00026378410932931576im,0.9476837572105546 - 0.0002758259217798862im,0.9476674383878807 - 0.00028790718234176214im,0.9476510593701778 - 0.00029992879390620806im,0.9476347053520069 - 0.00031207301467051893im,0.9476183484677478 - 0.00032410226423365134im,0.9476019489262075 - 0.0003361326185825085im,0.9475856263795962 - 0.00034817467441230956im,0.9475692437599003 - 0.00036021721474093036im,0.9475529588583019 - 0.00037226284040000593im,0.9475366127912179 - 0.0003842814487588657im,0.9475203777830675 - 0.0003962899440056247im,0.9475041107131995 - 0.0004083870584801616im,0.947487774752743 - 0.0004203690278064474im,0.9474713646697647 - 0.00043239543411253777im,0.9474550805757088 - 0.0004444621262712837im,0.9474388319823188 - 0.00045647300507571247im,0.9474224266762783 - 0.0004685317390832147im,0.9474060887976787 - 0.0004805315503351687im,0.9473897861157543 - 0.0004925609461842112im,0.9473734043483104 - 0.0005045426533428674im,0.9473571202778348 - 0.0005165811286063347im,0.9473408183848196 - 0.000528605480791991im,0.9473244364570917 - 0.0005406568401589715im,0.9473080954834012 - 0.0005527518572931661im,0.9472917185642323 - 0.000564780173957262im,0.9472753770466192 - 0.0005768465599836968im,0.9472596219822431 - 0.0005884100925260381im,0.947259305288238 - 0.0005886290431963297im,0.9472593273806671 - 0.0005886636603993888im,0.9472593190695323 - 0.000588640100795794im,0.9472593471370617 - 0.0005886781192710542im,0.9472593339900034 - 0.0005886562044596876im,0.9472593443513915 - 0.0005886640840359388im,0.9472593460304524 - 0.0005886643898226975im,0.947259367053118 - 0.0005886897796498316im,0.9472593598399435 - 0.000588669932199078im,0.9472593991447167 - 0.0005887298062008659im,0.9472594031048117 - 0.0005887391542927661im,0.947259404896597 - 0.0005887410125962136im,0.9472593670713154 - 0.0005886790265949573im,0.9472593721819905 - 0.0005886744395377451im,0.9472593812938934 - 0.000588686354510248im,0.9472593601593743 - 0.0005886461682853646im,0.9472593762796687 - 0.0005886734430868377im
0.9479495867570782 - 8.046569108330946e-5im,0.9479363627629299 - 9.079395984972467e-5im,0.9479231087940484 - 0.00010108814577315263im,0.9479098440422942 - 0.00011140591228235278im,0.947896617277421 - 0.0001217434554930984im,0.9478833413163906 - 0.00013205556944777714im,0.947870128347814 - 0.00014236159917851255im,0.9478569180011763 - 0.00015265393727525984im,0.9478436888289139 - 0.00016302101706067835im,0.9478304305579003 - 0.00017335834289457035im,0.9478171954147601 - 0.00018367599330612543im,0.9478039534942873 - 0.00019401009706005313im,0.9477906962986963 - 0.0002043396001281612im,0.9477774562550235 - 0.00021466246556828682im,0.9477641655206291 - 0.00022496227323825512im,0.94775091874196 - 0.00023531009625480135im,0.9477376604293367 - 0.0002456281922930811im,0.9477243740730605 - 0.0002559394910569322im,0.9477110944281979 - 0.00026627717664209487im,0.9476978141855583 - 0.00027659722340793945im,0.9476845694120654 - 0.0002869318766547146im,0.9476713052264857 - 0.00029723730419488386im,0.947658032216335 - 0.00030753766188380577im,0.947644792264829 - 0.00031786476657350514im,0.9476315209211515 - 0.0003281548522447402im,0.9476182327856476 - 0.0003384615719493003im,0.9476049937789126 - 0.00034876703802782307im,0.9475917221191235 - 0.0003591017741712379im,0.9475784884591352 - 0.00036940310178172213im,0.9475651910879267 - 0.0003797355308972608im,0.9475519018096376 - 0.0003901085139003801im,0.9475386652838594 - 0.0004003968649907614im,0.9475253849115493 - 0.0004107319067956608im,0.9475121061667722 - 0.00042105988061665294im,0.9474988543099684 - 0.0004313843507381248im,0.9474855971541596 - 0.0004417235448693081im,0.9474722833908186 - 0.00045205361624043146im,0.9474590063839393 - 0.0004623345537680877im,0.9474457229543972 - 0.00047263683162628055im,0.9474324181055115 - 0.00048293923702362403im,0.9474191582503376 - 0.0004932467476905239im,0.947405839293882 - 0.000503607283720328im,0.9473930216184298 - 0.0005135146567273724im,0.9473927422676511 - 0.0005137193763450769im,0.9473927380513912 - 0.0005137172203793448im,0.9473927365134789 - 0.0005137173800490022im,0.9473927223133822 - 0.000513702015923132im,0.9473927202198128 - 0.0005136979638962013im,0.9473927351931357 - 0.0005137144552166333im,0.9473927462482649 - 0.0005137272840650459im,0.9473927555076858 - 0.00051373834754283im,0.9473927605846559 - 0.0005137422317510637im,0.947392773777692 - 0.0005137583123039495im,0.9473927761587508 - 0.000513760317984426im,0.9473927887926852 - 0.0005137752470432349im,0.9473927998322469 - 0.000513786376251904im,0.9473927869900718 - 0.0005137710769853918im,0.9473927760451943 - 0.0005137580845895496im,0.9473927745392606 - 0.0005137565920419245im,0.9473927837097067 - 0.0005137671603988597im
0.9479473956914809 - 8.076404369638076e-5im,0.9479327637420402 - 9.124888652000125e-5im,0.9479180729031438 - 0.00010171504582900708im,0.9479033647589403 - 0.00011219394257406192im,0.9478887442043259 - 0.00012268609087387903im,0.9478740242952972 - 0.00013323640489579334im,0.9478593858329991 - 0.0001437871269818514im,0.9478447512131193 - 0.00015428049969796968im,0.9478301115188064 - 0.0001647921139545243im,0.9478155202448425 - 0.00017541179085309562im,0.9478007830409468 - 0.00018591017985720475im,0.9477861038837524 - 0.00019648560378356873im,0.9477714520551855 - 0.00020705272135083632im,0.9477567857229675 - 0.00021760621270030655im,0.9477421482983729 - 0.00022812059572849253im,0.9477275247583504 - 0.00023853370964752794im,0.9477129082711585 - 0.00024904776583227717im,0.9476982164648032 - 0.00025959680656330964im,0.9476835407512985 - 0.0002701952752398763im,0.9476687560045843 - 0.0002807272837283598im,0.9476541677067309 - 0.0002912440889212527im,0.947639515982912 - 0.00030177619607056106im,0.9476248618306718 - 0.00031231290705249683im,0.9476101936494319 - 0.0003227840957846717im,0.9475955080962019 - 0.00033329057395271454im,0.9475808159318195 - 0.00034375636907032825im,0.9475661408945402 - 0.0003542643539408398im,0.9475514376527194 - 0.0003648356754652731im,0.9475367315990529 - 0.00037535051219719497im,0.9475220003784244 - 0.0003857934731550694im,0.9475072556617667 - 0.0003963786501742756im,0.9474925622391857 - 0.00040683704238802886im,0.9474778757779322 - 0.0004174174669492977im,0.9474632019650403 - 0.0004279198383281616im,0.9474485194159641 - 0.0004384860651276046im,0.9474338085052332 - 0.0004489874915323098im,0.9474190433561582 - 0.00045946582478368714im,0.9474044080372904 - 0.00046995761042072174im,0.9473896768208386 - 0.00048052011754751676im,0.947375014854886 - 0.0004909830244169454im,0.9473602614902337 - 0.0005015121337138676im,0.9473455468395007 - 0.0005121105957979524im,0.9473313399193259 - 0.00052226478684226im,0.9473309307152786 - 0.0005224283827267954im,0.9473309571654392 - 0.0005224732954966908im,0.9473309276700241 - 0.0005224246245069943im,0.9473308898481748 - 0.0005223639999591708im,0.9473308878547708 - 0.0005223612498300434im,0.9473309018451472 - 0.0005223862111656268im,0.94733088386521 - 0.0005223543185547143im,0.9473308752625611 - 0.0005223420465722681im,0.9473308734320526 - 0.0005223463581124793im,0.9473308992490936 - 0.0005223855690570866im,0.9473309238214522 - 0.0005224224779543902im,0.9473309257292543 - 0.0005224203663377726im,0.9473309166890271 - 0.0005224088680539417im,0.9473308905872151 - 0.0005223720868252444im,0.9473308745299015 - 0.0005223491003874142im,0.9473308772622477 - 0.0005223569285366078im,0.9473308451222635 - 0.0005223071786936141im
0.9494095726432399 - 0.0004442168828737892im,0.949383667183669 - 0.00046515496473788665im,0.9493577730832975 - 0.00048598241744491813im,0.9493319361935008 - 0.0005068593376459115im,0.9493059762769965 - 0.0005277633120420504im,0.9492801163820033 - 0.000548667642751713im,0.9492542558820984 - 0.0005695415176791486im,0.9492283175319863 - 0.0005903310253790231im,0.9492024036719133 - 0.0006112418447955614im,0.9491765527813386 - 0.0006321476036405198im,0.9491506662859185 - 0.0006530112804526377im,0.9491247740019102 - 0.0006739265110328071im,0.9490988839221562 - 0.0006947672468273286im,0.9490729508128449 - 0.0007156832712821902im,0.9490469893845789 - 0.000736519361465868im,0.9490210270306528 - 0.0007574224564657146im,0.9489951386474078 - 0.0007782884036381882im,0.94896925302222 - 0.0007991743601384831im,0.9489432738718814 - 0.0008200426386933703im,0.9489173054071802 - 0.0008410191550484286im,0.9488913542092742 - 0.0008620201265342821im,0.9488654341781769 - 0.0008828996573149833im,0.9488394979839683 - 0.0009037032992651882im,0.9488136262738468 - 0.0009245489821331458im,0.9487875819935283 - 0.00094546288595498im,0.948761602653409 - 0.0009663007299018402im,0.9487356966690768 - 0.0009872101950396906im,0.9487097541864402 - 0.00100809689731406im,0.9486837811273373 - 0.0010287921258603067im,0.9486577531676981 - 0.0010496403510629187im,0.9486317701379918 - 0.001070487513967997im,0.9486058132144151 - 0.0010912477046830383im,0.948579922825937 - 0.0011120224723839957im,0.9485539947741376 - 0.001132993238689767im,0.9485279713938785 - 0.0011538623291325616im,0.9485020394408779 - 0.0011747507192403982im,0.9484760041338431 - 0.0011956705212863789im,0.9484499768093156 - 0.001216585288676577im,0.9484240095066251 - 0.0012374662433640596im,0.948397984497812 - 0.0012582699726797146im,0.9483719685968474 - 0.0012791092506088675im,0.9483459400612007 - 0.0013000255684299364im,0.9483211560623255 - 0.0013199788524774375im,0.9483207208386678 - 0.0013202909264796116im,0.9483207621243007 - 0.0013203539373218085im,0.9483207685431566 - 0.0013203553916497353im,0.9483207634171863 - 0.001320349764283507im,0.9483207186670529 - 0.0013202823948417661im,0.9483207415766483 - 0.001320310259235945im,0.9483207277595629 - 0.0013203056037506633im,0.9483207121310989 - 0.0013202787447868815im,0.948320746924331 - 0.0013203194113652456im,0.9483207651558558 - 0.0013203431833066553im,0.9483207762562701 - 0.001320363592134584im,0.9483207966610775 - 0.0013203897032879376im,0.9483207707061011 - 0.001320353043526175im,0.9483207823580803 - 0.001320372583915424im,0.9483207841489446 - 0.0013203785751569406im,0.9483208010780202 - 0.00132040375909365im,0.9483207850042904 - 0.0013203819969381985im
0.964630450483704 - 0.0003201391328420102im,0.96459810477637 - 0.0003464673339965818im,0.9645657268417706 - 0.00037279156705424175im,0.9645334811784507 - 0.00039922130455303275im,0.9645010617646721 - 0.00042558489637652483im,0.964468640086409 - 0.00045200865477498125im,0.9644362703067404 - 0.00047852793777553157im,0.9644038198152663 - 0.000504949338231946im,0.9643715838413315 - 0.000531413171876096im,0.9643391510221376 - 0.0005578285499261441im,0.9643067359449542 - 0.0005843778786530783im,0.9642744103275152 - 0.0006107547368555305im,0.9642420398520709 - 0.0006372107297591197im,0.964209699265232 - 0.0006635993805072815im,0.9641771922657574 - 0.0006901194333318628im,0.9641446615201628 - 0.0007165797852280178im,0.9641122068367978 - 0.0007428515079570999im,0.9640798260780058 - 0.0007694246972960796im,0.9640473122559237 - 0.0007958954536002376im,0.9640148844769723 - 0.000822353596054912im,0.9639824620256523 - 0.000848902453565475im,0.9639499192212861 - 0.0008753192778561377im,0.9639175284845435 - 0.0009017844148560596im,0.9638850154991154 - 0.0009282365755075201im,0.9638525857291081 - 0.0009546668234793329im,0.9638202151094796 - 0.0009810243307182612im,0.9637878780401788 - 0.0010075371314188575im,0.9637553444932498 - 0.0010339475778030668im,0.9637229461074488 - 0.0010603900555014784im,0.9636905603040018 - 0.0010867823769490355im,0.9636580248069742 - 0.0011131684488893399im,0.9636256709132119 - 0.0011395368338521597im,0.9635933460869575 - 0.0011658709961982882im,0.9635608174089919 - 0.0011922468391200706im,0.9635283484407643 - 0.0012186158011470657im,0.9634958177509632 - 0.0012450193231999993im,0.9634632367835682 - 0.0012714188951551864im,0.9634308196371884 - 0.0012979059404528523im,0.9633983943489585 - 0.0013243287278631697im,0.9633657911078012 - 0.001350767064553733im,0.9633332899661078 - 0.0013772900343068017im,0.9633007848853616 - 0.0014036524904917985im,0.9632697607157812 - 0.0014289458695392544im,0.9632691068418416 - 0.001429456339394264im,0.9632691027783059 - 0.0014294432815889124im,0.9632691348888373 - 0.001429478189485503im,0.9632691685578114 - 0.0014295385322308316im,0.9632691746779973 - 0.0014295481929303977im,0.9632691839845339 - 0.001429570457231189im,0.9632692319188576 - 0.0014296503103079093im,0.963269251096655 - 0.0014296789989445878im,0.9632692023424302 - 0.001429611604907363im,0.9632691771528401 - 0.001429575889684818im,0.9632691987670134 - 0.0014296025237416723im,0.9632692234607126 - 0.001429639481714783im,0.9632692763023433 - 0.0014296994664285316im,0.963269281879629 - 0.001429708751237178im,0.9632692562358337 - 0.0014296644692345735im,0.9632692570471284 - 0.001429665885856567im,0.9632692667237508 - 0.0014296779966862913im
0.9646340188004043 - 0.0003168032942293915im,0.9646040187963452 - 0.0003410377807527164im,0.9645739218275851 - 0.00036531994448851134im,0.9645438638053236 - 0.00038960171319206893im,0.9645138014244612 - 0.00041382964960649766im,0.9644837581658414 - 0.0004379880455553407im,0.9644536823913443 - 0.00046227287729129756im,0.9644235458304236 - 0.00048654814830531893im,0.9643934831312546 - 0.0005108652631234033im,0.9643633916662845 - 0.0005351530903147868im,0.9643332523619396 - 0.0005594829241666803im,0.9643031360182974 - 0.0005837956354933007im,0.9642730863908765 - 0.0006080732201859724im,0.9642430499160203 - 0.0006323330138025632im,0.9642128882859323 - 0.000656659633745384im,0.9641827210642065 - 0.0006809481674500098im,0.9641526262879138 - 0.0007051226038340297im,0.9641225723029566 - 0.0007294373623519452im,0.9640924556827786 - 0.0007537342261533871im,0.9640623270306719 - 0.0007780088019271251im,0.9640321800984248 - 0.0008023700887759682im,0.9640020757687815 - 0.0008266455748139582im,0.963971873499456 - 0.0008508829674998315im,0.9639416733842553 - 0.0008752234195644031im,0.9639115191248623 - 0.0008995985987622642im,0.9638814143319621 - 0.0009239499446434225im,0.9638513742014295 - 0.000948259013917803im,0.9638212235652243 - 0.0009725224275063762im,0.9637911995735723 - 0.0009967500667213156im,0.9637611218740695 - 0.0010210143889374994im,0.9637309669794079 - 0.0010452364898643693im,0.9637008520448694 - 0.0010694673162761298im,0.9636707323734425 - 0.0010937199175398153im,0.9636405581411097 - 0.0011179552713053594im,0.9636104224778427 - 0.0011421730007789407im,0.963580228013597 - 0.0011664454476246894im,0.9635500162691737 - 0.0011907367264133745im,0.9635198906874278 - 0.0012150188819860458im,0.9634896727402054 - 0.0012392875292976434im,0.9634594716082442 - 0.0012635383926844941im,0.9634293578114078 - 0.0012879021767023596im,0.9633992058877678 - 0.0013121552582478703im,0.9633708826786542 - 0.0013350606033992918im,0.9633704954726401 - 0.0013353871508929053im,0.9633705434892356 - 0.0013354653289859326im,0.9633705309993176 - 0.00133542790136973im,0.9633705250762328 - 0.0013354183807144568im,0.9633705282140658 - 0.0013354227076804994im,0.9633705369545162 - 0.0013354408148261174im,0.9633705601920448 - 0.0013354746017818218im,0.9633705575641232 - 0.00133546833359871im,0.963370546884302 - 0.001335466497314279im,0.963370542230051 - 0.001335463898368329im,0.9633705553918682 - 0.0013354775209502342im,0.9633705485845434 - 0.0013354619131852124im,0.9633706389871463 - 0.0013355908135704924im,0.9633706549039852 - 0.0013356194459522627im,0.9633706679849457 - 0.0013356420731698712im,0.9633706713012244 - 0.001335646706591518im,0.9633706835408768 - 0.0013356649173386769im
